LineId,Time,Component,Pid,Content,EventId,EventTemplate
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,e3c6f56b,REPORT : <*> <*> <*> 240 
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,621ffb6e,onStandStepChanged <*> 
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,882504b1,<*> 1 0 4 
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,f1d0c179,getTodayTotalDetailSteps <*> 
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,69a87295,setTodayTotalDetailSteps <*> 
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,e3c6f56b,REPORT : <*> <*> <*> 240 
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,621ffb6e,onStandStepChanged <*> 
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,882504b1,<*> 1 0 4 
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,f1d0c179,getTodayTotalDetailSteps <*> 
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,69a87295,setTodayTotalDetailSteps <*> 
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,e3c6f56b,REPORT : <*> <*> <*> 240 
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,621ffb6e,onStandStepChanged <*> 
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,882504b1,<*> 1 0 4 
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,f1d0c179,getTodayTotalDetailSteps <*> 
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,69a87295,setTodayTotalDetailSteps <*> 
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,e3c6f56b,REPORT : <*> <*> <*> 240 
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,621ffb6e,onStandStepChanged <*> 
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,882504b1,<*> 1 0 4 
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,f1d0c179,getTodayTotalDetailSteps <*> 
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,69a87295,setTodayTotalDetailSteps <*> 
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,e3c6f56b,REPORT : <*> <*> <*> 240 
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,621ffb6e,onStandStepChanged <*> 
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,882504b1,<*> 1 0 4 
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,95a45ce8,onReceive action: android.intent.action.SCREEN_OFF 
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,621ffb6e,onStandStepChanged <*> 
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,882504b1,<*> 1 0 4 
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,f1d0c179,getTodayTotalDetailSteps <*> 
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,69a87295,setTodayTotalDetailSteps <*> 
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,b5f8f0ab,<*> <*> 
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",0f54a502,screen <*> <*> screen <*> 
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,e3c6f56b,REPORT : <*> <*> <*> 240 
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,29691865,onReceive action: android.intent.action.SCREEN_ON 
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,50e8fc3f,processHandleBroadcastAction action:android.intent.action.SCREEN_ON 
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,40b016a1,flush sensor data 
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,f1d0c179,getTodayTotalDetailSteps <*> 
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,69a87295,setTodayTotalDetailSteps <*> 
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,621ffb6e,onStandStepChanged <*> 
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,e3c6f56b,REPORT : <*> <*> <*> 240 
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,621ffb6e,onStandStepChanged <*> 
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,5f9441e4,<*> 0 0 <*> 
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,621ffb6e,onStandStepChanged <*> 
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,882504b1,<*> 1 0 4 
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,f1d0c179,getTodayTotalDetailSteps <*> 
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,69a87295,setTodayTotalDetailSteps <*> 
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,e3c6f56b,REPORT : <*> <*> <*> 240 
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,621ffb6e,onStandStepChanged <*> 
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,882504b1,<*> 1 0 4 
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,f1d0c179,getTodayTotalDetailSteps <*> 
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,69a87295,setTodayTotalDetailSteps <*> 
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,e3c6f56b,REPORT : <*> <*> <*> 240 
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,621ffb6e,onStandStepChanged <*> 
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,882504b1,<*> 1 0 4 
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,f1d0c179,getTodayTotalDetailSteps <*> 
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,69a87295,setTodayTotalDetailSteps <*> 
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,e3c6f56b,REPORT : <*> <*> <*> 240 
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,621ffb6e,onStandStepChanged <*> 
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,882504b1,<*> 1 0 4 
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,f1d0c179,getTodayTotalDetailSteps <*> 
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,69a87295,setTodayTotalDetailSteps <*> 
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,e3c6f56b,REPORT : <*> <*> <*> 240 
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,621ffb6e,onStandStepChanged <*> 
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,882504b1,<*> 1 0 4 
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,f1d0c179,getTodayTotalDetailSteps <*> 
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,69a87295,setTodayTotalDetailSteps <*> 
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,e3c6f56b,REPORT : <*> <*> <*> 240 
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,621ffb6e,onStandStepChanged <*> 
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,882504b1,<*> 1 0 4 
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,f1d0c179,getTodayTotalDetailSteps <*> 
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,69a87295,setTodayTotalDetailSteps <*> 
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,e3c6f56b,REPORT : <*> <*> <*> 240 
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,621ffb6e,onStandStepChanged <*> 
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,882504b1,<*> 1 0 4 
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,f1d0c179,getTodayTotalDetailSteps <*> 
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,69a87295,setTodayTotalDetailSteps <*> 
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,e3c6f56b,REPORT : <*> <*> <*> 240 
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,621ffb6e,onStandStepChanged <*> 
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,882504b1,<*> 1 0 4 
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,f1d0c179,getTodayTotalDetailSteps <*> 
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,69a87295,setTodayTotalDetailSteps <*> 
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,e3c6f56b,REPORT : <*> <*> <*> 240 
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,621ffb6e,onStandStepChanged <*> 
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,882504b1,<*> 1 0 4 
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,f1d0c179,getTodayTotalDetailSteps <*> 
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,69a87295,setTodayTotalDetailSteps <*> 
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,e3c6f56b,REPORT : <*> <*> <*> 240 
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,621ffb6e,onStandStepChanged <*> 
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,882504b1,<*> 1 0 4 
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,f1d0c179,getTodayTotalDetailSteps <*> 
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,69a87295,setTodayTotalDetailSteps <*> 
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,e3c6f56b,REPORT : <*> <*> <*> 240 
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,621ffb6e,onStandStepChanged <*> 
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,882504b1,<*> 1 0 4 
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,f1d0c179,getTodayTotalDetailSteps <*> 
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,69a87295,setTodayTotalDetailSteps <*> 
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,e3c6f56b,REPORT : <*> <*> <*> 240 
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,621ffb6e,onStandStepChanged <*> 
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,882504b1,<*> 1 0 4 
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,f1d0c179,getTodayTotalDetailSteps <*> 
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,69a87295,setTodayTotalDetailSteps <*> 
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,e3c6f56b,REPORT : <*> <*> <*> 240 
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,621ffb6e,onStandStepChanged <*> 
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,882504b1,<*> 1 0 4 
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,f1d0c179,getTodayTotalDetailSteps <*> 
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,69a87295,setTodayTotalDetailSteps <*> 
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,e3c6f56b,REPORT : <*> <*> <*> 240 
177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,621ffb6e,onStandStepChanged <*> 
178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,882504b1,<*> 1 0 4 
179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,f1d0c179,getTodayTotalDetailSteps <*> 
180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,69a87295,setTodayTotalDetailSteps <*> 
181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,e3c6f56b,REPORT : <*> <*> <*> 240 
184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,621ffb6e,onStandStepChanged <*> 
185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,882504b1,<*> 1 0 4 
186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,f1d0c179,getTodayTotalDetailSteps <*> 
187,20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,69a87295,setTodayTotalDetailSteps <*> 
188,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,f3d2c97e,calculateCaloriesWithCache totalCalories <*> 
189,20171223-22:15:44:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,1ef891b1,calculateAltitudeWithCache totalAltitude 240 
