LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
66,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 1,b3dbffba,Started reading broadcast variable <*> 
67,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
68,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 1 took 16 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
69,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
70,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 2,b3dbffba,Started reading broadcast variable <*> 
71,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
72,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 2 took 16 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
73,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
74,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1072, boot = 856, init = 210, finish = 6",da937413,<*> total <*> boot <*> init <*> finish <*> 
75,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1114, boot = 885, init = 223, finish = 6",da937413,<*> total <*> boot <*> init <*> finish <*> 
76,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1074, boot = 869, init = 199, finish = 6",da937413,<*> total <*> boot <*> init <*> finish <*> 
77,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1078, boot = 851, init = 219, finish = 8",da937413,<*> total <*> boot <*> init <*> finish <*> 
78,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1077, boot = 865, init = 206, finish = 6",da937413,<*> total <*> boot <*> init <*> finish <*> 
79,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
80,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
81,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
82,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
83,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
84,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 38, boot = 11, init = 27, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
85,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 12, init = 30, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
86,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 41, boot = 15, init = 26, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
87,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 40, boot = 7, init = 33, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
88,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 13, init = 28, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
89,17/06/09,20:10:48,INFO,executor.Executor,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
90,17/06/09,20:10:48,INFO,executor.Executor,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
91,17/06/09,20:10:48,INFO,executor.Executor,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
92,17/06/09,20:10:48,INFO,executor.Executor,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
93,17/06/09,20:10:48,INFO,executor.Executor,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
94,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 42,12fd741a,Got assigned task <*> 
95,17/06/09,20:10:52,INFO,executor.Executor,Running task 0.0 in stage 1.0 (TID 42),21b970a3,Running task <*> in stage <*> <*> <*> 
96,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 56,12fd741a,Got assigned task <*> 
97,17/06/09,20:10:52,INFO,executor.Executor,Running task 1.0 in stage 1.0 (TID 56),21b970a3,Running task <*> in stage <*> <*> <*> 
98,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 69,12fd741a,Got assigned task <*> 
99,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 10,b3dbffba,Started reading broadcast variable <*> 
100,17/06/09,20:10:52,INFO,executor.Executor,Running task 2.0 in stage 1.0 (TID 69),21b970a3,Running task <*> in stage <*> <*> <*> 
101,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 78,12fd741a,Got assigned task <*> 
102,17/06/09,20:10:52,INFO,executor.Executor,Running task 3.0 in stage 1.0 (TID 78),21b970a3,Running task <*> in stage <*> <*> <*> 
103,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 79,12fd741a,Got assigned task <*> 
104,17/06/09,20:10:52,INFO,executor.Executor,Running task 4.0 in stage 1.0 (TID 79),21b970a3,Running task <*> in stage <*> <*> <*> 
105,17/06/09,20:10:52,INFO,storage.MemoryStore,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
106,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 10 took 17 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
107,17/06/09,20:10:52,INFO,storage.MemoryStore,"Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
108,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_0 locally,2b0c5524,Found block <*> locally 
109,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_3 locally,2b0c5524,Found block <*> locally 
110,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_4 locally,2b0c5524,Found block <*> locally 
111,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_2 locally,2b0c5524,Found block <*> locally 
112,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_1 locally,2b0c5524,Found block <*> locally 
113,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4131, init = 4172, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
114,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 41, boot = -4122, init = 4162, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
115,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4121, init = 4162, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
116,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4138, init = 4179, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
117,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4134, init = 4175, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
118,17/06/09,20:10:52,INFO,executor.Executor,Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
119,17/06/09,20:10:52,INFO,executor.Executor,Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
120,17/06/09,20:10:52,INFO,executor.Executor,Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
121,17/06/09,20:10:52,INFO,executor.Executor,Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
122,17/06/09,20:10:52,INFO,executor.Executor,Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
123,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 87,12fd741a,Got assigned task <*> 
124,17/06/09,20:10:52,INFO,executor.Executor,Running task 0.0 in stage 2.0 (TID 87),21b970a3,Running task <*> in stage <*> <*> <*> 
125,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 101,12fd741a,Got assigned task <*> 
126,17/06/09,20:10:52,INFO,executor.Executor,Running task 1.0 in stage 2.0 (TID 101),21b970a3,Running task <*> in stage <*> <*> <*> 
127,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 112,12fd741a,Got assigned task <*> 
128,17/06/09,20:10:52,INFO,executor.Executor,Running task 2.0 in stage 2.0 (TID 112),21b970a3,Running task <*> in stage <*> <*> <*> 
129,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 118,12fd741a,Got assigned task <*> 
130,17/06/09,20:10:52,INFO,executor.Executor,Running task 3.0 in stage 2.0 (TID 118),21b970a3,Running task <*> in stage <*> <*> <*> 
131,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 11,b3dbffba,Started reading broadcast variable <*> 
132,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 119,12fd741a,Got assigned task <*> 
133,17/06/09,20:10:52,INFO,executor.Executor,Running task 4.0 in stage 2.0 (TID 119),21b970a3,Running task <*> in stage <*> <*> <*> 
134,17/06/09,20:10:52,INFO,storage.MemoryStore,"Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
135,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 11 took 15 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
136,17/06/09,20:10:52,INFO,storage.MemoryStore,"Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
137,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_4 locally,2b0c5524,Found block <*> locally 
138,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_3 locally,2b0c5524,Found block <*> locally 
139,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_2 locally,2b0c5524,Found block <*> locally 
140,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_0 locally,2b0c5524,Found block <*> locally 
141,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_1 locally,2b0c5524,Found block <*> locally 
142,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 39, boot = -147, init = 186, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
143,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 39, boot = -147, init = 186, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
144,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 41, boot = -139, init = 179, finish = 1",da937413,<*> total <*> boot <*> init <*> finish <*> 
145,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 38, boot = -156, init = 194, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
146,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 39, boot = -159, init = 198, finish = 0",da937413,<*> total <*> boot <*> init <*> finish <*> 
147,17/06/09,20:10:52,INFO,executor.Executor,Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
148,17/06/09,20:10:52,INFO,executor.Executor,Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
149,17/06/09,20:10:52,INFO,executor.Executor,Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
150,17/06/09,20:10:52,INFO,executor.Executor,Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
151,17/06/09,20:10:52,INFO,executor.Executor,Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,e00d2269,Finished task <*> in stage <*> <*> <*> <*> bytes result sent to driver 
152,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 122,12fd741a,Got assigned task <*> 
153,17/06/09,20:10:53,INFO,executor.Executor,Running task 0.0 in stage 3.0 (TID 122),21b970a3,Running task <*> in stage <*> <*> <*> 
154,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 136,12fd741a,Got assigned task <*> 
155,17/06/09,20:10:53,INFO,executor.Executor,Running task 1.0 in stage 3.0 (TID 136),21b970a3,Running task <*> in stage <*> <*> <*> 
156,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 150,12fd741a,Got assigned task <*> 
157,17/06/09,20:10:53,INFO,executor.Executor,Running task 2.0 in stage 3.0 (TID 150),21b970a3,Running task <*> in stage <*> <*> <*> 
158,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 158,12fd741a,Got assigned task <*> 
159,17/06/09,20:10:53,INFO,executor.Executor,Running task 3.0 in stage 3.0 (TID 158),21b970a3,Running task <*> in stage <*> <*> <*> 
160,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 12,b3dbffba,Started reading broadcast variable <*> 
161,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 159,12fd741a,Got assigned task <*> 
162,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 3.0 (TID 159),21b970a3,Running task <*> in stage <*> <*> <*> 
163,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)",40702cc8,Block <*> stored as bytes in memory <*> size <*> <*> free <*> <*> 
164,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 12 took 30 ms,1a372bdf,Reading broadcast variable <*> took <*> ms 
165,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_12 stored as values in memory (estimated size 9.8 KB, free 369.3 KB)",e2f64f99,Block <*> stored as values in memory <*> size <*> <*> free <*> <*> 
166,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_4 not found, computing it",e0243440,Partition <*> not <*> computing it 
167,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_3 not found, computing it",e0243440,Partition <*> not <*> computing it 
168,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_0 not found, computing it",e0243440,Partition <*> not <*> computing it 
169,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_1 not found, computing it",e0243440,Partition <*> not <*> computing it 
170,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_2 not found, computing it",e0243440,Partition <*> not <*> computing it 
171,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_4 locally,2b0c5524,Found block <*> locally 
172,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_3 locally,2b0c5524,Found block <*> locally 
173,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_1 locally,2b0c5524,Found block <*> locally 
174,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_0 locally,2b0c5524,Found block <*> locally 
175,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_2 locally,2b0c5524,Found block <*> locally 
