EventId,EventTemplate,Occurrences
e675672f,"Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state) ",1
2ce4dcb4,tickTime set to 2000 ,1
641dcc66,"Connection broken for id 3, my id <*> error  ",1
669e7400,Unexpected exception causing shutdown while sock still open ,12
d17492c7,"Connection broken for id 188978561024, my id 2, error  ",96
9ab59bbd,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode NodeExists for /home/curi/.zookeeper ,1
bb330ab3,"Notification: 3 (n.leader), 0x10000006b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0x1 (n.peerEPoch), LEADING (my state) ",1
f804196c,Expiring session <*> timeout of <*> exceeded ,2
665ada7e,Starting quorum peer ,1
f30e5070,Snapshotting: 0x300000dcd to /var/lib/zookeeper/version-2/snapshot.300000dcd ,1
9a058e14,autopurge.purgeInterval set to 0 ,3
0348e66a,Snapshotting: 0x50000062e to /var/lib/zookeeper/version-2/snapshot.50000062e ,1
5286a270,Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4 ,1
cdbad630,Revalidating client: 0x24f0557806a001c ,1
6811abc0,maxSessionTimeout set to -1 ,1
ac322d9c,Server environment:java.class.path /etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar ,1
c63748c8,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000 ,1
b5883522,"Notification: 2 (n.leader), <*> (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), <*> (n.peerEPoch), LEADING (my state) ",1
347334c7,<*> <*> <*> <*> <*> ,1
c10e69df,First is 0x0 ,1
13c927c5,"Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state) ",2
5870b3f4,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084 ,1
37522af7,Sending DIFF ,1
32d6d61e,Getting a snapshot from leader ,2
1bfb5232,"Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state) ",2
0ddcccf1,"Connection broken for id 188978561024, my id 3, error  ",99
e40d8c8f,"Notification: 3 (n.leader), 0x10000006b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0x1 (n.peerEPoch), LOOKING (my state) ",1
ceede391,"Connection broken for id <*> my id 3, error  ",1
a207932e,"Notification: 3 (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), 3 (n.sid), 0x2 (n.peerEPoch), FOLLOWING (my state) ",1
1174ad74,minSessionTimeout set to -1 ,2
dbc1f7d6,Server environment:java.home /usr/lib/jvm/java-7-openjdk-amd64/jre ,1
1c96f429,"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state) ",1
