Token,Cluster,Frequence,Type
",",162,5,STATIC
but,162,5,STATIC
the,162,5,STATIC
start,162,5,STATIC
time,162,5,STATIC
is,162,5,STATIC
n't,162,5,STATIC
for,162,5,STATIC
12119,162,1,STATIC
seconds,162,5,STATIC
.,162,10,STATIC
Ignoring,162,5,STATIC
Thermal,180,12,STATIC
pressure,180,24,STATIC
state,180,24,STATIC
:,180,24,STATIC
0,180,24,STATIC
Memory,180,12,STATIC
437673,32,1,VARIABLE
12087,162,1,STATIC
AppleThunderboltNHIType2,10,6,STATIC
:,10,6,STATIC
:waitForOk2Go2Sx,10,6,STATIC
-,10,6,STATIC
intel_rp,10,6,STATIC
=,10,12,STATIC
1,10,6,STATIC
dlla_reporting_supported,10,6,STATIC
0,10,6,STATIC
mDNS_RegisterInterface,135,4,STATIC
:,135,15,STATIC
Frequent,135,4,STATIC
transitions,135,4,STATIC
for,135,4,STATIC
interface,135,4,STATIC
en0,135,3,STATIC
(,135,4,STATIC
FE80:0000:0000:0000,135,4,STATIC
C6B3:01FF,135,3,STATIC
FECD:467F,135,3,STATIC
),135,4,STATIC
AppleCamIn,75,11,STATIC
:,75,27,STATIC
:wakeEventHandlerThread,75,11,STATIC
ARPT,152,5,STATIC
:,152,30,STATIC
621686.164365,152,1,VARIABLE
wl0,152,5,STATIC
setup_keepalive,152,5,STATIC
Local,152,5,STATIC
port,152,10,STATIC
62614,152,1,VARIABLE
",",152,5,STATIC
Remote,152,5,STATIC
443,152,5,STATIC
621738.114066,83,1,VARIABLE
-,45,12,VARIABLE
[,45,12,VARIABLE
UABestAppSuggestionManager,45,12,VARIABLE
notifyBestAppChanged,45,12,VARIABLE
:,45,132,STATIC
type,45,12,VARIABLE
options,45,12,VARIABLE
bundleIdentifier,45,12,VARIABLE
activityType,45,12,VARIABLE
dynamicIdentifier,45,12,VARIABLE
when,45,12,VARIABLE
confidence,45,12,VARIABLE
deviceName,45,12,VARIABLE
deviceIdentifier,45,12,VARIABLE
deviceType,45,12,VARIABLE
],45,12,VARIABLE
(,45,84,STATIC
null,45,72,STATIC
),45,84,STATIC
UASuggestedActionType=0,45,12,VARIABLE
/,45,24,STATIC
opts=,45,12,VARIABLE
when=2017-07-01,45,1,VARIABLE
17:08:20,45,1,VARIABLE
+0000,45,12,VARIABLE
confidence=1,45,12,VARIABLE
from=,45,12,VARIABLE
UABestAppSuggestionManager.m,45,12,VARIABLE
#,45,12,VARIABLE
319,45,12,VARIABLE
en0,157,12,STATIC
:,157,12,STATIC
channel,157,11,STATIC
changed,157,11,STATIC
to,157,11,STATIC
1,157,11,STATIC
ARPT,98,8,STATIC
:,98,33,STATIC
621799.252673,98,1,VARIABLE
AQM,98,5,STATIC
agg,98,5,STATIC
results,98,5,STATIC
0x8001,98,5,STATIC
len,98,5,STATIC
hi/lo,98,5,STATIC
0x0,98,5,STATIC
0x26,98,4,STATIC
BAbitmap,98,5,STATIC
(,98,5,STATIC
0-3,98,5,STATIC
),98,5,STATIC
0,98,20,STATIC
CCFile,102,2,VARIABLE
:,102,40,STATIC
:captureLog,102,2,VARIABLE
Received,102,2,VARIABLE
Capture,102,2,VARIABLE
notice,102,2,VARIABLE
id,102,2,VARIABLE
1498928900.759059,102,1,VARIABLE
",",102,14,STATIC
reason,102,2,VARIABLE
=,102,2,VARIABLE
AuthFail,102,2,VARIABLE
sts:5_rsn:0,102,2,VARIABLE
*,155,3,STATIC
scheduler_evaluate_activity,155,3,STATIC
told,155,3,STATIC
me,155,3,STATIC
to,155,3,STATIC
run,155,3,STATIC
this,155,3,STATIC
job,155,3,STATIC
;,155,3,STATIC
however,155,3,STATIC
",",155,3,STATIC
but,155,3,STATIC
the,155,3,STATIC
start,155,3,STATIC
time,155,3,STATIC
is,155,3,STATIC
n't,155,3,STATIC
for,155,3,STATIC
10602,155,1,VARIABLE
seconds,155,3,STATIC
Ignoring,155,3,STATIC
IO80211AWDLPeerManager,39,14,STATIC
:,39,14,STATIC
:setAwdlOperatingMode,39,14,STATIC
Setting,39,14,STATIC
the,39,14,STATIC
AWDL,39,14,STATIC
operation,39,14,STATIC
mode,39,14,STATIC
from,39,14,STATIC
AUTO,39,14,STATIC
to,39,14,STATIC
SUSPENDED,39,14,STATIC
Unrecognized,123,8,STATIC
attribute,123,8,STATIC
value,123,8,STATIC
:,123,18,STATIC
t,123,8,STATIC
AbchPersonItemType,123,8,STATIC
31328,140,2,VARIABLE
SOSAccountThisDeviceCanSyncWithCircle,73,12,STATIC
sync,73,12,STATIC
with,73,12,STATIC
device,73,12,STATIC
failure,73,12,STATIC
:,73,12,STATIC
Error,73,12,STATIC
Domain=,73,12,STATIC
<,73,12,STATIC
*,73,12,STATIC
>,73,12,STATIC
Code=1035,73,12,STATIC
``,73,12,STATIC
Account,73,12,STATIC
identity,73,24,STATIC
not,73,24,STATIC
set,73,24,STATIC
'',73,12,STATIC
UserInfo=,73,12,STATIC
{,73,12,STATIC
NSDescription=Account,73,12,STATIC
},73,12,STATIC
CFPasteboardRef,164,2,STATIC
CFPasteboardCreate,164,2,STATIC
(,164,4,STATIC
CFAllocatorRef,164,2,STATIC
",",164,8,STATIC
CFStringRef,164,2,STATIC
),164,4,STATIC
:,164,8,STATIC
failed,164,2,STATIC
to,164,8,STATIC
create,164,2,STATIC
global,164,2,STATIC
data,164,2,STATIC
31346,140,1,VARIABLE
31376,127,1,VARIABLE
IOThunderboltSwitch,61,19,STATIC
<,61,20,STATIC
0,61,38,STATIC
>,61,20,STATIC
(,61,21,STATIC
0x0,61,38,STATIC
),61,21,STATIC
:,61,20,STATIC
:listenerCallback,61,19,STATIC
-,61,19,STATIC
Thunderbolt,61,19,STATIC
HPD,61,19,STATIC
packet,61,19,STATIC
for,61,19,STATIC
route,61,19,STATIC
=,61,57,STATIC
port,61,19,STATIC
12,61,19,STATIC
unplug,61,19,STATIC
10:46:47.425,50,1,STATIC
:,50,6,STATIC
BTLE,50,2,STATIC
scanner,50,2,STATIC
Powered,50,2,STATIC
On,50,2,STATIC
button,182,7,STATIC
report,182,7,STATIC
:,182,9,STATIC
0x8002be0,182,7,STATIC
31382,127,1,VARIABLE
11:20:51.293,156,1,VARIABLE
:,156,20,STATIC
BTLE,156,3,STATIC
discovered,156,1,VARIABLE
device,156,1,VARIABLE
with,156,1,VARIABLE
hash,156,1,VARIABLE
<,156,4,STATIC
01faa200,156,1,VARIABLE
00000000,156,1,VARIABLE
0000,156,1,VARIABLE
>,156,4,STATIC
securityd_xpc_dictionary_handler,110,4,STATIC
cloudd,110,4,STATIC
[,110,11,STATIC
326,110,4,STATIC
],110,11,STATIC
copy_matching,110,4,STATIC
Error,110,4,STATIC
Domain=NSOSStatusErrorDomain,110,4,STATIC
Code=-50,110,4,STATIC
``,110,4,STATIC
query,110,4,STATIC
missing,110,8,STATIC
class,110,8,STATIC
name,110,8,STATIC
'',110,4,STATIC
(,110,7,STATIC
paramErr,110,4,STATIC
:,110,22,STATIC
error,110,5,STATIC
in,110,4,STATIC
user,110,4,STATIC
parameter,110,4,STATIC
list,110,4,STATIC
),110,7,STATIC
UserInfo=,110,4,STATIC
{,110,4,STATIC
NSDescription=query,110,4,STATIC
},110,4,STATIC
Location,-1,5,VARIABLE
icon,-1,5,VARIABLE
should,-1,5,VARIABLE
now,-1,5,VARIABLE
be,-1,12,STATIC
in,-1,8,VARIABLE
state,-1,14,STATIC
'Inactive,-1,5,VARIABLE
',-1,8,VARIABLE
ARPT,48,4,STATIC
:,48,28,STATIC
626126.086205,48,1,VARIABLE
wl0,48,2,VARIABLE
setup_keepalive,48,2,VARIABLE
interval,48,2,VARIABLE
900,48,2,VARIABLE
",",48,12,STATIC
retry_interval,48,2,VARIABLE
30,48,2,VARIABLE
retry_count,48,2,VARIABLE
10,48,2,VARIABLE
ARPT,126,6,STATIC
:,126,58,STATIC
626126.086246,126,1,VARIABLE
wl0,126,6,STATIC
MDNS,126,4,VARIABLE
IPV4,126,4,VARIABLE
Addr,126,4,VARIABLE
<,126,38,STATIC
*,126,28,STATIC
>,126,38,STATIC
__42-,-1,3,VARIABLE
[,-1,15,STATIC
NETClientConnection,-1,3,VARIABLE
evaluateCrazyIvan46,-1,3,VARIABLE
],-1,15,STATIC
_block_invoke,-1,3,VARIABLE
CI46,-1,3,VARIABLE
-,-1,3,VARIABLE
Hit,-1,3,VARIABLE
by,-1,4,VARIABLE
torpedo,-1,3,VARIABLE
!,-1,7,VARIABLE
QQ.10018,-1,3,VARIABLE
tc19060,-1,1,VARIABLE
<,-1,20,STATIC
*,-1,20,STATIC
>,-1,20,STATIC
:14000,-1,3,VARIABLE
626132.740936,151,1,VARIABLE
Setting,174,7,STATIC
BTCoex,174,7,STATIC
Config,174,7,STATIC
:,174,9,STATIC
enable_2G:1,174,7,STATIC
",",174,21,STATIC
profile_2g:0,174,7,STATIC
enable_5G:1,174,7,STATIC
profile_5G:0,174,7,STATIC
31432,140,1,VARIABLE
Captive,119,3,STATIC
:,119,10,STATIC
[,119,7,STATIC
CNInfoNetworkActive:1748,119,3,STATIC
],119,7,STATIC
en0,119,4,STATIC
SSID,119,3,STATIC
'CalVisitor,119,3,STATIC
',119,3,STATIC
making,119,3,STATIC
interface,119,3,STATIC
primary,119,3,STATIC
(,119,5,STATIC
cache,119,3,STATIC
indicates,119,3,STATIC
network,119,3,STATIC
not,119,3,STATIC
captive,119,3,STATIC
),119,5,STATIC
<,60,13,STATIC
*,60,13,STATIC
>,60,13,STATIC
:,60,14,STATIC
scheduler_evaluate_activity,60,13,STATIC
told,60,13,STATIC
me,60,13,STATIC
to,60,13,STATIC
run,60,13,STATIC
this,60,13,STATIC
job,60,13,STATIC
;,60,13,STATIC
however,60,13,STATIC
",",60,13,STATIC
but,60,13,STATIC
the,60,13,STATIC
start,60,13,STATIC
time,60,13,STATIC
is,60,13,STATIC
n't,60,13,STATIC
for,60,13,STATIC
16227,60,1,VARIABLE
seconds,60,13,STATIC
.,60,26,STATIC
Ignoring,60,13,STATIC
IO80211AWDLPeerManager,71,6,STATIC
:,71,6,STATIC
:setAwdlOperatingMode,71,6,STATIC
Setting,71,6,STATIC
the,71,6,STATIC
AWDL,71,6,STATIC
operation,71,6,STATIC
mode,71,6,STATIC
from,71,6,STATIC
SUSPENDED,71,6,STATIC
to,71,6,STATIC
AUTO,71,6,STATIC
-,33,17,STATIC
[,33,17,STATIC
NetworkAnalyticsEngine,33,17,STATIC
_writeJournalRecord,33,17,STATIC
:,33,119,STATIC
fromCellFingerprint,33,17,STATIC
key,33,34,STATIC
atLOI,33,17,STATIC
ofKind,33,17,STATIC
lqm,33,17,STATIC
isFaulty,33,17,STATIC
],33,17,STATIC
Hashing,33,17,STATIC
of,33,17,STATIC
the,33,34,STATIC
primary,33,17,STATIC
failed,33,17,STATIC
.,33,34,STATIC
Dropping,33,17,STATIC
journal,33,17,STATIC
record,33,17,STATIC
AppleCamIn,30,41,STATIC
:,30,41,STATIC
:systemWakeCall,30,41,STATIC
-,30,41,STATIC
messageType,30,41,STATIC
=,30,41,STATIC
0xE0000340,30,41,STATIC
11:46:19.229,76,1,STATIC
:,76,10,STATIC
Finished,76,1,STATIC
generating,76,2,STATIC
hashes,76,2,STATIC
Captive,89,4,STATIC
:,89,12,STATIC
CNPluginHandler,89,4,STATIC
en0,89,8,STATIC
Evaluating,89,4,STATIC
<,16,9,STATIC
*,16,9,STATIC
>,16,9,STATIC
:,16,13,STATIC
scheduler_evaluate_activity,16,5,STATIC
told,16,5,STATIC
me,16,5,STATIC
to,16,5,STATIC
run,16,5,STATIC
this,16,5,STATIC
job,16,5,STATIC
;,16,5,STATIC
however,16,5,STATIC
",",16,9,STATIC
but,16,5,STATIC
the,16,5,STATIC
start,16,5,STATIC
time,16,5,STATIC
is,16,7,STATIC
n't,16,5,STATIC
for,16,5,STATIC
16034,16,1,VARIABLE
seconds,16,5,STATIC
.,16,10,STATIC
Ignoring,16,5,STATIC
1277,42,1,VARIABLE
626380.467130,170,1,VARIABLE
PM,58,5,STATIC
response,58,5,STATIC
took,58,5,STATIC
1938,58,1,STATIC
ms,58,5,STATIC
(,58,5,STATIC
54,58,3,STATIC
",",58,5,STATIC
powerd,58,3,STATIC
),58,5,STATIC
tcp_connection_destination_perform_socket_connect,119,4,STATIC
19110,119,1,STATIC
connectx,119,4,STATIC
to,119,4,STATIC
<,119,4,STATIC
*,119,4,STATIC
>,119,4,STATIC
:80,119,1,STATIC
@,119,4,STATIC
0,119,4,STATIC
failed,119,5,STATIC
50,119,4,STATIC
Network,119,5,STATIC
is,119,5,STATIC
down,119,4,STATIC
AirPort,159,5,STATIC
:,159,12,STATIC
Link,159,5,STATIC
Down,159,5,STATIC
on,159,5,STATIC
en0,159,5,STATIC
.,159,16,STATIC
Reason,159,5,STATIC
8,159,5,STATIC
(,159,5,STATIC
Disassociated,159,5,STATIC
because,159,5,STATIC
station,159,5,STATIC
leaving,159,5,STATIC
),159,5,STATIC
11:49:29.473,50,1,STATIC
USBMSC,18,12,STATIC
Identifier,18,12,STATIC
(,18,12,STATIC
non-unique,18,12,STATIC
),18,12,STATIC
:,18,12,STATIC
000000000820,18,12,STATIC
0x5ac,18,12,STATIC
0x8406,18,12,STATIC
0x820,18,12,STATIC
",",18,12,STATIC
3,18,12,STATIC
CCXPCService,109,2,STATIC
:,109,9,STATIC
:setStreamEventHandler,109,3,STATIC
Registered,109,2,STATIC
for,109,4,STATIC
notification,109,2,STATIC
callback,109,2,STATIC
.,109,2,STATIC
[,112,4,STATIC
0701/114930,112,1,VARIABLE
:,112,13,STATIC
WARNING,112,4,STATIC
dns_config_service_posix.cc,112,4,STATIC
(,112,4,STATIC
306,112,4,STATIC
),112,4,STATIC
],112,4,STATIC
Failed,112,4,STATIC
to,112,6,STATIC
read,112,4,STATIC
DnsConfig,112,4,STATIC
.,112,8,STATIC
Saw,128,2,STATIC
change,128,2,STATIC
in,128,2,STATIC
network,128,2,STATIC
reachability,128,2,STATIC
